	Sediment_013	Sediment_014	Sediment_015	Sediment_010	Sediment_011	Sediment_012	Sediment_043	Sediment_044	Sediment_045	Sediment_040	Sediment_041	Sediment_058	Sediment_060	Sediment_055	Sediment_056	Sediment_057	Sediment_004	Sediment_005	Sediment_006	Sediment_001	Sediment_002	Sediment_003	Sediment_007	Sediment_008	Sediment_009	Sediment_034	Sediment_035	Sediment_036	Sediment_031	Sediment_032	Sediment_033	Sediment_037	Sediment_038	Sediment_039	Sediment_049	Sediment_051	Sediment_046	Sediment_047	Sediment_048	Sediment_052	Sediment_053	Sediment_054
ASV.2448	0	0	0	0	0	0	0	32	30	0	0	0	0	0	0	0	0	17	0	0	14	0	17	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	23	0	10	0
ASV.2449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.245	42	18	22	22	0	0	131	200	126	50	22	21	12	0	28	26	15	42	22	16	20	31	43	31	23	90	28	77	59	66	20	74	129	41	0	0	11	0	159	0	0	18
ASV.2450	0	0	0	27	18	0	31	0	0	0	0	9	0	0	0	10	0	0	11	0	0	49	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2451	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2452	0	0	0	0	19	0	0	0	0	0	0	0	0	32	0	8	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	8	0	0	0	0	0	0	0
ASV.2453	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV.2454	0	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	17	0	77	76	18	15	0	0	0	0	0	0	0	0	0
ASV.2455	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	5	0	0	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	15
ASV.2456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2457	17	0	0	0	0	0	0	0	0	0	0	0	10	23	15	0	31	24	0	18	35	0	16	13	15	16	0	7	0	0	0	7	0	0	8	0	24	0	0	0	0	0
ASV.2458	0	5	14	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2459	55	43	92	79	85	63	0	5	0	0	0	48	57	45	44	98	62	78	23	115	44	56	65	77	67	0	0	10	0	0	83	0	9	11	42	72	86	97	6	39	42	41
ASV.246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2460	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2461	0	0	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	0	7	0	0	0	0	6	0	0	0
ASV.2462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2463	0	0	18	0	5	0	0	0	0	0	0	21	13	24	17	0	5	3	6	6	0	0	0	0	4	0	0	0	0	0	10	0	0	0	29	20	0	0	0	0	0	18
ASV.2464	6	8	10	12	0	0	7	11	0	0	6	6	9	0	10	10	10	27	0	16	0	14	9	16	12	27	0	0	0	0	20	0	10	0	9	12	10	22	0	13	0	9
ASV.2465	0	0	8	0	0	0	0	0	6	0	5	2	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV.2466	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0
ASV.2467	79	57	19	65	73	32	32	26	51	0	34	20	18	0	36	47	59	72	36	51	62	48	98	120	41	0	75	41	0	0	42	73	35	66	33	26	126	85	29	69	90	42
